0	1	1	0	0	37
1	0	1	1	0	46
1	1	1	0	1	60
1	1	1	1	1	49
0	0	0	0	1	38
1	0	1	0	1	40
1	1	1	1	1	60
1	1	1	1	1	47
1	1	1	0	1	60
0	1	0	1	0	35
1	1	1	1	1	48
0	1	1	0	1	36
1	1	1	1	1	51
0	1	1	1	1	25
1	1	0	1	1	34
1	1	1	0	0	60
1	1	1	1	1	60
0	0	0	1	0	28
0	1	0	1	0	13
0	1	0	1	1	45
0	1	1	0	0	60
1	1	0	1	1	60
1	1	1	1	1	45
1	1	1	1	1	52
0	0	0	1	0	27
0	0	1	0	0	30
1	0	1	0	0	33
1	1	1	0	1	38
1	1	0	1	1	35
1	1	1	1	1	30
1	1	1	1	0	51
0	0	0	1	0	14
0	1	0	1	1	36
0	1	0	0	0	37
1	0	0	0	0	22
1	1	0	0	0	31
1	1	1	1	1	60
1	1	1	1	1	54
0	1	1	1	1	39
0	1	0	0	0	28
1	1	1	1	1	30
1	1	1	1	0	44
0	0	0	1	0	38
0	1	1	1	1	49
1	0	1	0	1	36
1	1	1	1	1	46
1	1	1	1	0	49
0	0	0	1	0	38
0	1	1	1	0	42
0	0	0	0	1	34
0	0	1	0	0	34
0	1	1	0	0	40
1	1	1	1	1	50
1	0	1	0	1	53
1	1	1	1	1	60
0	0	1	0	1	43
